400,0.0259948
410,0.0314924
420,0.040266
430,0.03685
440,0.048103
450,0.057056
460,0.057651
470,0.053911
480,0.040735
490,0.031892
500,0.028718
510,0.027844
520,0.02761
530,0.028372
540,0.029849
550,0.030918
560,0.033616
570,0.035574
580,0.038668
590,0.041772
600,0.044819
610,0.047922
620,0.05184
630,0.056637
640,0.062296
650,0.065473
660,0.067609
670,0.068788
680,0.069571
690,0.068334
700,0.070887
710,0.074108
720,0.072363
730,0.073888
740,0.077415
750,0.07762
760,0.023907
770,0.072756
780,0.070811
790,0.065545
800,0.062488
810,0.058466
820,0.049848
830,0.050771
840,0.054045
850,0.051366
860,0.050749
870,0.049408
880,0.047892
890,0.046863
900,0.034047
910,0.033802
920,0.036813
930,0.022399
940,0.022118
950,0.021387
960,0.025642
970,0.036306
980,0.037127
990,0.041286
1000,0.042903
